MCP Server Name,GitHub Repo URL,Description,Category
Inkeep,https://github.com/inkeep/mcp-server-python,RAG Search over your content powered by [Inkeep](https://inkeep.com),Search & RAG
Integration App,https://github.com/integration-app/mcp-server,Interact with any other SaaS applications on behalf of your customers.,Integration Platform
JetBrains,https://github.com/JetBrains/mcp-jetbrains,– Work on your code with JetBrains IDEs,Development Tools
Jetty.io,https://github.com/jettyio/mlcbakery/tree/main/mcp_server,— Work on dataset metadata with MLCommons Croissant validation and creation.,ML Data Management
Kagi Search,https://github.com/kagisearch/kagimcp,Search the web using Kagi's search API,Cloud Services
Keboola,https://github.com/keboola/keboola-mcp-server,"Build robust data workflows, integrations, and analytics on a single intuitive platform.",AI Tools
Last9,https://github.com/last9/last9-mcp-server,"Seamlessly bring real-time production context—logs, metrics, and traces—into your local environment to auto-fix code faster.",Big Data Platform
Logfire,https://github.com/pydantic/logfire-mcp,Provides access to OpenTelemetry traces and metrics through Logfire.,IoT & Smart Home
Langfuse Prompt Management,https://github.com/langfuse/mcp-server-langfuse,"Open-source tool for collaborative editing, versioning, evaluating, and releasing prompts.",Messaging & Communication
LINE Official Account,https://github.com/line/line-bot-mcp-server,Integrates the LINE Messaging API to connect an AI Agent to the LINE Official Account.,Translation & Localization
Lingo.dev,https://github.com/lingodotdev/lingo.dev/blob/main/mcp.md,"Make your AI agent speak every language on the planet, using [Lingo.dev](https://lingo.dev) Localization Engine.",Email Management
Mailgun,https://github.com/mailgun/mailgun-mcp-server,Interact with Mailgun API.,Email Testing
Mailtrap,https://github.com/railsware/mailtrap-mcp,Integrates with Mailtrap Email API.,Workflow Automation
Make,https://github.com/integromat/make-mcp-server,Turn your [Make](https://www.make.com/) scenarios into callable tools for AI assistants.,AI Development
Mastra/mcp,https://github.com/mastra-ai/mastra/tree/main/packages/mcp,"Client implementation for Mastra, providing seamless integration with MCP-compatible AI models and tools.",Knowledge Management
Mastra/mcp-docs-server,https://github.com/mastra-ai/mastra/tree/main/packages/mcp-docs-server,Provides AI assistants with direct access to Mastra.ai's complete knowledge base.,Database
MCP Toolbox for Databases,https://github.com/googleapis/genai-toolbox,"Open source MCP server specializing in easy, fast, and secure tools for Databases.",Search Engine
Meilisearch,https://github.com/meilisearch/meilisearch-mcp,Interact & query with Meilisearch (Full-text & semantic search API),Cloud Infrastructure
Metoro,https://github.com/metoro-io/metoro-mcp-server,Query and interact with kubernetes environments monitored by Metoro,Container Orchestration
Milvus,https://github.com/zilliztech/mcp-server-milvus,"Search, Query and interact with data in your Milvus Vector Database.",Vector Database
MotherDuck,https://github.com/motherduckdb/mcp-server-motherduck,Query and analyze data with MotherDuck and local DuckDB,Data Warehousing
Mureka,https://github.com/SkyworkAI/Mureka-mcp,"generate lyrics, song and background music(instrumental)",Music & Audio Generation
Needle,https://github.com/needle-ai/needle-mcp,Production-ready RAG out of the box to search and retrieve data from your own documents.,Search & RAG
Neo4j,https://github.com/neo4j-contrib/mcp-neo4j/,Neo4j graph database server (schema + read/write-cypher) and separate graph database backed memory,Graph Database
Neon,https://github.com/neondatabase/mcp-server-neon,Interact with the Neon serverless Postgres platform,Cloud Database
Notion,https://github.com/makenotion/notion-mcp-server,Notion official MCP server,Knowledge Management
Notte,https://github.com/nottelabs/notte/tree/main/packages/notte-mcp,Leverage Notte Web AI agents & cloud browser sessions for scalable browser automation & scraping workflows,Web Automation
Norman Finance,https://github.com/norman-finance/norman-mcp-server,MCP server for managing accounting and taxes with Norman Finance.,Finance & Accounting
OceanBase,https://github.com/oceanbase/mcp-oceanbase,MCP Server for OceanBase database and its tools,Database
Octagon,https://github.com/OctagonAI/octagon-mcp-server,Deliver real-time investment research with extensive private and public market data.,Financial Data & Analytics
OP.GG,https://github.com/opgginc/opgg-mcp,"Access real-time gaming data across popular titles like League of Legends, TFT, and Valorant, offering champion analytics, esports schedules, meta compositions, and character statistics.",Gaming & E-sports
Oxylabs,https://github.com/oxylabs/oxylabs-mcp,"Scrape websites with Oxylabs Web API, supporting dynamic rendering and parsing for structured data extraction.",Web Scraping & Data Extraction
PayPal,https://github.com/paypal/agent-toolkit,The PayPal Model Context Protocol server allows you to integrate with PayPal APIs through function calling. This protocol supports various tools to interact with different PayPal services.,Payment Processing
Perplexity,https://github.com/ppl-ai/modelcontextprotocol,"An MCP server that connects to Perplexity's Sonar API, enabling real-time web-wide research in conversational AI.",Search & Research
Plane,https://github.com/makeplane/plane-mcp-server,"The official Plane MCP server provides integration with Plane APIs, enabling full AI automation of Plane projects, work items, cycles and more.",Project Management
Playwright,https://github.com/microsoft/playwright-mcp,Playwright MCP server,Web Automation
Plugged.in,https://github.com/VeriTeknik/pluggedin-mcp-proxy,"A comprehensive proxy that combines multiple MCP servers into a single MCP. It provides discovery and management of tools, prompts, resources, and templates across servers, plus a playground for debugging when building MCP servers.",Integration Platform
Powerdrill,https://github.com/powerdrillai/powerdrill-mcp,"An MCP server that provides tools to interact with Powerdrill datasets, enabling smart AI data analysis and insights.",Data Analytics
QA Sphere,https://github.com/Hypersequent/qasphere-mcp,"Integration with [QA Sphere](https://qasphere.com/) test management system, enabling LLMs to discover, summarize, and interact with test cases directly from AI-powered IDEs",Quality Assurance & Testing
Qdrant,https://github.com/qdrant/mcp-server-qdrant/,Implement semantic memory layer on top of the Qdrant vector search engine,Vector Database
RAD Security,https://github.com/rad-security/mcp-server,Interact with the RAD Security platform which provides AI-powered security insights for Kubernetes and cloud environments.,Security & Compliance
Ramp,https://github.com/ramp-public/ramp-mcp,Interact with [Ramp](https://ramp.com)'s Developer API to run analysis on your spend and gain insights leveraging LLMs,Financial Management
Raygun,https://github.com/MindscapeHQ/mcp-server-raygun,Interact with your crash reporting and real using monitoring data on your Raygun account,Error Monitoring
Reexpress,https://github.com/ReexpressAI/reexpress_mcp_server,"Enable Similarity-Distance-Magnitude statistical verification for your search, software, and data science workflows",Data Verification
Rember,https://github.com/rember/rember-mcp,Create spaced repetition flashcards in [Rember](https://rember.com) to remember anything you learn in your chats,Learning & Education
Riza,https://github.com/riza-io/riza-mcp,Arbitrary code execution and tool-use platform for LLMs by [Riza](https://riza.io),Code Execution
Root Signals,https://github.com/root-signals/root-signals-mcp,Equip AI agents with evaluation and self-improvement capabilities with [Root Signals](https://www.rootsignals.ai/),AI Evaluation
Search1API,https://github.com/fatwang2/search1api-mcp,"One API for Search, Crawling, and Sitemaps",Search Engine
Scrapeless,https://github.com/scrapeless-ai/scrapeless-mcp-server,"Integrate real-time [Scrapeless](https://www.scrapeless.com/en) Google SERP(Google Search, Google Flight, Google Map, Google Jobs....) results into your LLM applications. This server enables dynamic context retrieval for AI workflows, chatbots, and research tools.",Web Scraping & Data Extraction
Scrapezy,https://github.com/scrapezy/mcp,Turn websites into datasets with [Scrapezy](https://scrapezy.com),Web Scraping & Data Extraction
ScreenshotOne,https://github.com/screenshotone/mcp/,Render website screenshots with [ScreenshotOne](https://screenshotone.com/),Website Screenshots
Semgrep,https://github.com/semgrep/mcp,Enable AI agents to secure code with [Semgrep](https://semgrep.dev/).,Code Security
Sentry,https://github.com/getsentry/sentry-mcp,Official MCP server for [Sentry](https://sentry.io).,Error Monitoring
SingleStore,https://github.com/singlestore-labs/mcp-server-singlestore,Interact with the SingleStore database platform,Database
Supabase,https://github.com/supabase-community/supabase-mcp,"Connects to Supabase platform for database, auth, edge functions and more.",Database & Backend
Square,https://github.com/square/square-mcp-server,A Model Context Protocol (MCP) server for square,Payment Processing
StarRocks,https://github.com/StarRocks/mcp-server-starrocks,Interact with [StarRocks](https://www.starrocks.io/),Database
Stripe,https://github.com/stripe/agent-toolkit,Interact with Stripe API,Payment Processing
Taskeract,https://github.com/Acqusys/taskeract-mcp,Official Taskeract MCP Server for integrating your [Taskeract](https://www.taskeract.com/) project tasks and load the context of your tasks into your MCP enabled app.,Project Management
Tavily,https://github.com/tavily-ai/tavily-mcp,Search engine for AI agents (search + extract) powered by [Tavily](https://tavily.com/),Search Engine
Tencent Cloud COS MCP,https://github.com/Tencent/cos-mcp,Quickly integrate with Tencent Cloud Storage (COS) and Data Processing (CI) capabilities powered,Cloud Storage
Teradata,https://github.com/Teradata/teradata-mcp-server,"A collection of tools for managing the platform, addressing data quality and reading and writing to [Teradata](https://www.teradata.com/) Database.",Database
Thirdweb,https://github.com/thirdweb-dev/ai/tree/main/python/thirdweb-mcp,"Read/write to over 2k blockchains, enabling data querying, contract analysis/deployment, and transaction execution, powered by [Thirdweb](https://thirdweb.com/)",Blockchain & Crypto
Tinybird,https://github.com/tinybirdco/mcp-tinybird,Interact with Tinybird serverless ClickHouse platform,Data Processing
Tldv,https://gitlab.com/tldv/tldv-mcp-server,"Connect your AI agents to Google-Meet, Zoom & Microsoft Teams through [tl;dv](https://tldv.io)",Vector Database
Trade Agent,https://github.com/Trade-Agent/trade-agent-mcp,Execute stock and crypto trades via [Trade Agent](https://thetradeagent.ai/),Data Verification
Twilio,https://github.com/twilio-labs/mcp,"Interact with [Twilio](https://www.twilio.com/en-us) APIs to send messages, manage phone numbers, configure your account, and more.",Integration Platform
UnifAI,https://github.com/unifai-network/unifai-mcp-server,Dynamically search and call tools using [UnifAI Network](https://unifai.network),Video & Media Processing
Unstructured,https://github.com/Unstructured-IO/UNS-MCP,Set up and interact with your unstructured data processing workflows in [Unstructured Platform](https://unstructured.io),CMS & Web Development
Vectorize,https://github.com/vectorize-io/vectorize-mcp-server/,"[Vectorize](https://vectorize.io) MCP server for advanced retrieval, Private Deep Research, Anything-to-Markdown file extraction and text chunking.",Vector Database & RAG
Verodat,https://github.com/Verodat/verodat-mcp-server,Interact with Verodat AI Ready Data platform,Data Management
VeyraX,https://github.com/VeyraX/veyrax-mcp,"Single tool to control all 100+ API integrations, and UI components",API Integration Platform
VideoDB,https://github.com/video-db/agent-toolkit/tree/main/modelcontextprotocol,"Server for advanced AI-driven video editing, semantic search, multilingual transcription, generative media, voice cloning, and content moderation.",Video Analytics & Processing
Webflow,https://github.com/webflow/mcp-server,Interact with Webflow APIs to list and edit your site and CMS data.,Web Development & CMS
WebScraping.AI,https://github.com/webscraping-ai/webscraping-ai-mcp-server,Interact with **[WebScraping.AI](https://WebScraping.AI)** for web data extraction and scraping.,Web Scraping & Data Extraction
Xero,https://github.com/XeroAPI/xero-mcp-server,Interact with the accounting data in your business using our official MCP server,Accounting & Finance
YepCode,https://github.com/yepcode/mcp-server-js,"Execute any LLM-generated code in the [YepCode](https://yepcode.io) secure and scalable sandbox environment and create your own MCP tools using JavaScript or Python, with full support for NPM and PyPI packages",Code Execution & Sandbox
Zapier,https://zapier.com/mcp,"Connect your AI Agents to 8,000 apps instantly.",Workflow Automation
ZenML,https://github.com/zenml-io/mcp-zenml,Interact with your MLOps and LLMOps pipelines through your [ZenML](https://www.zenml.io) MCP server,ML Pipeline Management
Airtable,https://github.com/domdomegg/airtable-mcp-server,Read and write access to Airtable databases.,Database Management
Agentset,https://github.com/agentset-ai/mcp-server,RAG MCP for your [Agentset](https://agentset.ai/) data.,Blockchain & Crypto
Algorand,https://github.com/GoPlausible/algorand-mcp,A comprehensive MCP server for tooling interactions(40+) and resource accessibility(60+) plus many useful prompts to interact with Algorand Blockchain.,Mobile Device Management
Android MCP,https://github.com/minhalvp/android-mcp-server,"📲 An MCP server that provides control over Android devices through ADB. Offers device screenshot capture, UI layout analysis, package management, and ADB command execution capabilities.",Anime & Media Database
AniList,https://github.com/yuna0x0/anilist-mcp,AniList MCP server for accessing AniList API data,Anime & Media
any-chat-completions-mcp,https://github.com/pyroprompts/any-chat-completions-mcp,"Chat with any other OpenAI SDK Compatible Chat Completions API, like Perplexity, Groq, xAI and more",API Gateway
APISIX-MCP,https://github.com/api7/apisix-mcp,"APISIX Model Context Protocol (MCP) server is used to bridge large language models (LLMs) with the APISIX Admin API, supporting querying and managing all resources in [Apache APISIX](https://github.com/apache/apisix).",Note Taking
Apple Notes,https://github.com/RafalWilinski/mcp-apple-notes,Talk with your Apple Notes,Automation
Apple Shortcuts,https://github.com/recursechat/mcp-server-apple-shortcuts,An MCP Server Integration with Apple Shortcuts,Cloud Infrastructure
AWS EC2 Pricing,https://github.com/trilogy-group/aws-pricing-mcp,Get up-to-date EC2 pricing information with one call. Fast. Powered by a pre-parsed AWS pricing catalogue.,Cloud Infrastructure
Backup,https://github.com/hexitex/MCP-Backup-Server,"Add smart Backup ability to coding agents like Windsurf, Cursor, Cluade Coder, etc",Backup & Recovery
BigQuery,https://github.com/LucasHild/mcp-server-bigquery,(by LucasHild) - BigQuery database integration with schema inspection and query capabilities,Data Warehousing
BigQuery,https://github.com/ergut/mcp-bigquery-server,(by ergut) - Server implementation for Google BigQuery integration that enables direct BigQuery database access and querying capabilities,Data Warehousing
Binary Ninja,https://github.com/fosdickio/binary_ninja_mcp,"A Binary Ninja plugin, MCP server, and bridge that seamlessly integrates [Binary Ninja](https://binary.ninja) with your favorite MCP client.",Development Tools & Reverse Engineering
Bluesky,https://github.com/keturiosakys/bluesky-context-server,integrates with Bluesky API to query and search feeds and posts.,Social Media
BloodHound-MCP,https://github.com/MorDavid/BloodHound-MCP-AI,"(by MorDavid) - integration that connects BloodHound with AI through MCP, allowing security professionals to analyze Active Directory attack paths using natural language queries instead of Cypher.",Security & Active Directory
Box,https://github.com/hmk/box-mcp-server,File access and search for Box.,Cloud Storage
Browser MCP,https://github.com/browsermcp/mcp,Automate your local browser,Browser Automation
bytebase/dbhub,https://github.com/bytebase/dbhub,– 📇 Universal database MCP server supporting mainstream databases.\,Database
Calculator,https://github.com/githejie/mcp-server-calculator,This server enables LLMs to use calculator for precise numerical calculations.,Calculator & Math
Canvas LMS,https://github.com/ahnopologetic/canvas-lms-mcp,MCP server for easy access to education data through your Canvas LMS instance.,Education & LMS
Chaitin IP Intelligence,https://github.com/co0ontty/chaitin-ip-intelligence-search-tool,Search for IP addresses using Chaitin's IP Intelligence API.,Security & IP Intelligence
Chart,https://github.com/antvis/mcp-server-chart,🤖 A Model Context Protocol server for generating visual charts using [AntV](https://github.com/antvis).,Data Visualization
ChuckNorris,https://github.com/pollinations/chucknorris-mcp,A specialized MCP gateway for LLM enhancement prompts and jailbreaks with dynamic schema adaptation. Provides prompts for different LLMs using an enum-based approach.,Humor & Fun Content
clj-kondo-MCP,https://github.com/Bigsy/clj-kondo-MCP,Clojure linter,Development Tools
Clojars,https://github.com/Bigsy/Clojars-MCP-Server,Obtains latest dependency details for Clojure libraries.,Package Management
CoinCap,https://github.com/QuantGeekDev/coincap-mcp,A MCP server that provides real-time cryptocurrency market data through CoinCap's public API without requiring authentication,Financial Data & Crypto
Comet Opik,https://github.com/comet-ml/opik-mcp,"MCP server to talk to your [Opik](https://github.com/comet-ml/opik) cloud or open-source instance to query and analyze LLM traces, metrics and observability.",MLOps & Observability
Contentful,https://github.com/ivo-toby/contentful-mcp,Interact with your content on the Contentful platform,Content Management System
Data Exploration,https://github.com/reading-plus-ai/mcp-server-data-exploration,"MCP server for autonomous data exploration on .csv-based datasets, providing intelligent insights with minimal effort.",Data Analysis
Database,https://github.com/TheRaLabs/legion-mcp,"(by Legion AI) - Universal database MCP server supporting multiple database types including PostgreSQL, Redshift, CockroachDB, MySQL, RDS MySQL, Microsoft SQL Server, BigQuery, Oracle DB, and SQLite",Database
dbt-docs,https://github.com/mattijsdp/dbt-docs-mcp,"MCP server for dbt-core (OSS) users as the official dbt MCP only supports dbt Cloud. Supports project metadata, model and column-level lineage and dbt documentation.",Data Engineering
DeepView MCP,https://github.com/ai-1st/deepview-mcp,Enables IDEs like Cursor and Windsurf to analyze large codebases using Gemini's 1M context window.,Code Analysis
